,File,Area,Density1,Density2
0,./20240321_140300_322/Plate002_Well2_Object5.tif_projection.tif,3914614,261,271
7,./20240321_140300_322/Plate002_Well4_Object1.tif_projection.tif,5303687,395,409
28,./20240321_140300_322/Plate002_Well4_Object10.tif_projection.tif,3416181,207,214
43,./20240321_140300_322/Plate002_Well4_Object5.tif_projection.tif,3228158,139,149
49,./20240321_140300_322/Plate002_Well3_Object8.tif_projection.tif,3992510,211,220
51,./20240321_140300_322/Plate002_Well2_Object4.tif_projection.tif,3445564,270,279
58,./20240321_140300_322/Plate002_Well2_Object7.tif_projection.tif,5082303,355,367
61,./20240321_140300_322/Plate002_Well3_Object9.tif_projection.tif,4504021,204,218
69,./20240321_140300_322/Plate002_Well2_Object8.tif_projection.tif,3807543,255,268
77,./20240321_140300_322/Plate002_Well1_Object3.tif_projection.tif,4211859,367,377
85,./20240321_140300_322/Plate002_Well2_Object1.tif_projection.tif,3725395,437,447
87,./20240321_140300_322/Plate002_Well1_Object0.tif_projection.tif,4030802,323,337
89,./20240321_140300_322/Plate002_Well4_Object8.tif_projection.tif,4168004,262,274
99,./20240321_140300_322/Plate002_Well4_Object0.tif_projection.tif,5151274,222,233
108,./20240321_140300_322/Plate002_Well2_Object3.tif_projection.tif,5280350,201,211
118,./20240321_140300_322/Plate002_Well4_Object3.tif_projection.tif,4270948,234,246
119,./20240321_140300_322/Plate002_Well1_Object7.tif_projection.tif,3773515,363,376
122,./20240321_140300_322/Plate002_Well2_Object0.tif_projection.tif,3892841,232,241
141,./20240321_140300_322/Plate002_Well1_Object1.tif_projection.tif,4095063,293,306
155,./20240321_140300_322/Plate002_Well2_Object2.tif_projection.tif,4921397,341,357
157,./20240321_140300_322/Plate002_Well3_Object0.tif_projection.tif,6918359,514,527
160,./20240321_140300_322/Plate002_Well4_Object4.tif_projection.tif,3567929,133,139
178,./20240321_140300_322/Plate002_Well1_Object6.tif_projection.tif,4842374,412,428
180,./20240321_140300_322/Plate002_Well1_Object2.tif_projection.tif,3222942,211,225
181,./20240321_140300_322/Plate002_Well4_Object9.tif_projection.tif,3634472,247,261
188,./20240321_140300_322/Plate002_Well4_Object7.tif_projection.tif,3415355,245,262
191,./20240321_140300_322/Plate002_Well2_Object6.tif_projection.tif,3372123,221,227
199,./20240321_140300_322/Plate002_Well3_Object5.tif_projection.tif,4950810,302,318
205,./20240321_140300_322/Plate002_Well3_Object4.tif_projection.tif,3541399,278,290
237,./20240321_140300_322/Plate002_Well3_Object6.tif_projection.tif,3843899,255,264
238,./20240321_140300_322/Plate002_Well3_Object7.tif_projection.tif,3400371,127,134
239,./20240321_140300_322/Plate002_Well3_Object3.tif_projection.tif,4589891,229,241
242,./20240321_140300_322/Plate002_Well3_Object1.tif_projection.tif,4401278,236,246
246,./20240321_140300_322/Plate002_Well1_Object4.tif_projection.tif,3424358,311,318
257,./20240321_140300_322/Plate002_Well1_Object5.tif_projection.tif,4578692,393,413
259,./20240321_140300_322/Plate002_Well3_Object2.tif_projection.tif,5999660,234,238
262,./20240321_140300_322/Plate002_Well4_Object6.tif_projection.tif,3636262,210,217
280,./20240321_140300_322/Plate002_Well4_Object2.tif_projection.tif,6212744,332,347
