,File,Area,Density1,Density2
3,./20240321_140300_322/Plate008_Well2_Object4.tif_projection.tif,3765197,206,223
16,./20240321_140300_322/Plate008_Well1_Object0.tif_projection.tif,3709755,130,138
21,./20240321_140300_322/Plate008_Well2_Object6.tif_projection.tif,3629351,216,223
34,./20240321_140300_322/Plate008_Well2_Object8.tif_projection.tif,2960477,113,121
35,./20240321_140300_322/Plate008_Well1_Object1.tif_projection.tif,3317060,124,129
37,./20240321_140300_322/Plate008_Well1_Object3.tif_projection.tif,3886157,148,154
102,./20240321_140300_322/Plate008_Well2_Object3.tif_projection.tif,3062916,176,188
107,./20240321_140300_322/Plate008_Well2_Object7.tif_projection.tif,2940954,129,136
133,./20240321_140300_322/Plate008_Well1_Object9.tif_projection.tif,2743318,138,144
134,./20240321_140300_322/Plate008_Well1_Object6.tif_projection.tif,2884482,139,147
166,./20240321_140300_322/Plate008_Well1_Object4.tif_projection.tif,3258132,138,145
184,./20240321_140300_322/Plate008_Well2_Object5.tif_projection.tif,3109863,130,136
214,./20240321_140300_322/Plate008_Well2_Object1.tif_projection.tif,3340195,246,261
236,./20240321_140300_322/Plate008_Well1_Object5.tif_projection.tif,3186589,112,116
240,./20240321_140300_322/Plate008_Well1_Object8.tif_projection.tif,3394446,166,170
250,./20240321_140300_322/Plate008_Well2_Object10.tif_projection.tif,3052639,139,146
272,./20240321_140300_322/Plate008_Well1_Object7.tif_projection.tif,3427980,149,157
273,./20240321_140300_322/Plate008_Well1_Object2.tif_projection.tif,3309181,129,138
274,./20240321_140300_322/Plate008_Well2_Object9.tif_projection.tif,3001658,145,154
281,./20240321_140300_322/Plate008_Well2_Object0.tif_projection.tif,4050626,207,217
285,./20240321_140300_322/Plate008_Well2_Object2.tif_projection.tif,4361121,282,296
