,Unnamed: 0,File,Area,Density1,Density2
269,269,./20240321_140300_322/Plate001_Well2_Object2.tif_projection.tif,5577739,1103,1171
270,270,./20240321_140300_322/Plate004_Well2_Object0.tif_projection.tif,9249655,1141,1339
271,271,./20240321_140300_322/Plate004_Well2_Object1.tif_projection.tif,4537886,917,1016
272,272,./20240321_140300_322/Plate008_Well1_Object7.tif_projection.tif,3427980,149,157
273,273,./20240321_140300_322/Plate008_Well1_Object2.tif_projection.tif,3309181,129,138
274,274,./20240321_140300_322/Plate008_Well2_Object9.tif_projection.tif,3001658,145,154
275,275,./20240321_140300_322/Plate004_Well1_Object4.tif_projection.tif,4078525,778,861
276,276,./20240321_140300_322/Plate003_Well4_Object7.tif_projection.tif,4841296,995,1097
277,277,./20240321_140300_322/Plate004_Well3_Object3.tif_projection.tif,3853589,607,626
278,278,./20240321_140300_322/Plate007_Well2_Object2.tif_projection.tif,4188892,237,244
279,279,./20240321_140300_322/Plate001_Well1_Object6.tif_projection.tif,4098030,1024,1110
280,280,./20240321_140300_322/Plate002_Well4_Object2.tif_projection.tif,6212744,332,347
281,281,./20240321_140300_322/Plate008_Well2_Object0.tif_projection.tif,4050626,207,217
282,282,./20240321_140300_322/Plate004_Well4_Object3.tif_projection.tif,4121680,439,460
283,283,./20240321_140300_322/Plate004_Well4_Object5.tif_projection.tif,3642093,544,570
284,284,./20240321_140300_322/Plate000_Well1_Object8.tif_projection.tif,5191437,472,485
285,285,./20240321_140300_322/Plate008_Well2_Object2.tif_projection.tif,4361121,282,296
286,286,./20240321_140300_322/Plate003_Well3_Object2.tif_projection.tif,4580296,986,1092
287,287,./20240321_140300_322/Plate003_Well1_Object0.tif_projection.tif,6102097,107,119
288,288,./20240321_140300_322/Plate005_Well3_Object0.tif_projection.tif,8073671,463,500
289,289,./20240321_140300_322/Plate001_Well3_Object4.tif_projection.tif,3952374,772,822
290,290,./20240321_140300_322/Plate003_Well4_Object2.tif_projection.tif,7198952,1343,1462
291,291,./20240321_140300_322/Plate005_Well4_Object2.tif_projection.tif,3609958,406,424
292,292,./20240321_140300_322/Plate005_Well4_Object8.tif_projection.tif,4231480,353,362
293,293,./20240321_140300_322/Plate006_Well3_Object5.tif_projection.tif,4367830,619,656
294,294,./20240321_140300_322/Plate006_Well2_Object1.tif_projection.tif,4886128,975,1032
295,295,./20240321_140300_322/Plate005_Well3_Object9.tif_projection.tif,5039206,365,385
296,296,./20240321_140300_322/Plate006_Well2_Object8.tif_projection.tif,3756700,838,876
297,297,./20240321_140300_322/Plate006_Well2_Object7.tif_projection.tif,4767492,1005,1036
0,,./20240402_081806_268/Plate000_Well1_Object0.tif_projection.tif,3657504,173,183
1,,./20240402_081806_268/Plate000_Well1_Object1.tif_projection.tif,4496747,303,316
2,,./20240402_081806_268/Plate000_Well1_Object2.tif_projection.tif,3873438,149,154
3,,./20240402_081806_268/Plate000_Well1_Object3.tif_projection.tif,2844663,143,150
4,,./20240402_081806_268/Plate000_Well1_Object4.tif_projection.tif,3389491,149,157
5,,./20240402_081806_268/Plate000_Well1_Object5.tif_projection.tif,3623182,148,154
6,,./20240402_081806_268/Plate000_Well1_Object6.tif_projection.tif,4459196,257,266
7,,./20240402_081806_268/Plate000_Well1_Object7.tif_projection.tif,4216357,149,155
