Date,Probe,Peak1,Peak2
20250130,CenpA,-0.25,0.281
20250203,CenpA,-0.261,0.29
20250204,CenpA,-0.27,0.3
20250205,CenpA,-0.269,0.3
20250206,CenpA,-0.25,0.28
20250407,CenpA,-0.212,0.245
20250408,CenpA,-0.202,0.233
20250421A,CenpA,-0.301,0.331
20250421B,CenpA,-0.281,0.313
20250421C,CenpA,-0.299,0.331
20250422A,CenpA,-0.296,0.331
20250422B,CenpA,-0.287,0.319
20250422C,CenpA,-0.286,0.316
