,centromere_index,intensity,file,C1_Intensity,C2_Intensity,Label,Treatment,spots
90,2,651.745,Cen7g11rFISH\Palbo_ON\IFISH001_002.tif,171,430,Cen7g11rFISH,Palbo_ON,43
91,3,616.14777,Cen7g11rFISH\Palbo_ON\IFISH001_002.tif,107,112,Cen7g11rFISH,Palbo_ON,43
92,4,573.8618,Cen7g11rFISH\Palbo_ON\IFISH001_002.tif,103,107,Cen7g11rFISH,Palbo_ON,43
93,5,550.6173,Cen7g11rFISH\Palbo_ON\IFISH001_002.tif,103,400,Cen7g11rFISH,Palbo_ON,43
94,6,595.7783,Cen7g11rFISH\Palbo_ON\IFISH001_002.tif,110,496,Cen7g11rFISH,Palbo_ON,43
95,7,549.1606,Cen7g11rFISH\Palbo_ON\IFISH001_002.tif,113,139,Cen7g11rFISH,Palbo_ON,43
96,8,616.14606,Cen7g11rFISH\Palbo_ON\IFISH001_002.tif,122,678,Cen7g11rFISH,Palbo_ON,43
97,9,533.08124,Cen7g11rFISH\Palbo_ON\IFISH001_002.tif,108,112,Cen7g11rFISH,Palbo_ON,43
98,10,523.3679,Cen7g11rFISH\Palbo_ON\IFISH001_002.tif,112,127,Cen7g11rFISH,Palbo_ON,43
99,11,519.1346,Cen7g11rFISH\Palbo_ON\IFISH001_002.tif,102,1061,Cen7g11rFISH,Palbo_ON,43
100,12,525.3602,Cen7g11rFISH\Palbo_ON\IFISH001_002.tif,551,117,Cen7g11rFISH,Palbo_ON,43
101,13,510.20404,Cen7g11rFISH\Palbo_ON\IFISH001_002.tif,1973,107,Cen7g11rFISH,Palbo_ON,43
102,14,503.3327,Cen7g11rFISH\Palbo_ON\IFISH001_002.tif,120,130,Cen7g11rFISH,Palbo_ON,43
103,15,502.99387,Cen7g11rFISH\Palbo_ON\IFISH001_002.tif,1819,105,Cen7g11rFISH,Palbo_ON,43
104,16,520.3452,Cen7g11rFISH\Palbo_ON\IFISH001_002.tif,98,129,Cen7g11rFISH,Palbo_ON,43
105,17,482.41043,Cen7g11rFISH\Palbo_ON\IFISH001_002.tif,104,351,Cen7g11rFISH,Palbo_ON,43
106,18,482.16394,Cen7g11rFISH\Palbo_ON\IFISH001_002.tif,129,470,Cen7g11rFISH,Palbo_ON,43
107,19,471.48303,Cen7g11rFISH\Palbo_ON\IFISH001_002.tif,101,748,Cen7g11rFISH,Palbo_ON,43
108,20,454.35733,Cen7g11rFISH\Palbo_ON\IFISH001_002.tif,109,1899,Cen7g11rFISH,Palbo_ON,43
109,21,437.39798,Cen7g11rFISH\Palbo_ON\IFISH001_002.tif,108,104,Cen7g11rFISH,Palbo_ON,43
110,22,437.88925,Cen7g11rFISH\Palbo_ON\IFISH001_002.tif,303,117,Cen7g11rFISH,Palbo_ON,43
111,23,395.59927,Cen7g11rFISH\Palbo_ON\IFISH001_002.tif,110,1144,Cen7g11rFISH,Palbo_ON,43
112,24,405.5324,Cen7g11rFISH\Palbo_ON\IFISH001_002.tif,104,110,Cen7g11rFISH,Palbo_ON,43
113,25,401.54575,Cen7g11rFISH\Palbo_ON\IFISH001_002.tif,105,103,Cen7g11rFISH,Palbo_ON,43
114,26,411.51508,Cen7g11rFISH\Palbo_ON\IFISH001_002.tif,127,305,Cen7g11rFISH,Palbo_ON,43
115,27,401.60794,Cen7g11rFISH\Palbo_ON\IFISH001_002.tif,132,113,Cen7g11rFISH,Palbo_ON,43
116,28,380.60153,Cen7g11rFISH\Palbo_ON\IFISH001_002.tif,104,106,Cen7g11rFISH,Palbo_ON,43
117,29,424.41486,Cen7g11rFISH\Palbo_ON\IFISH001_002.tif,103,1019,Cen7g11rFISH,Palbo_ON,43
118,30,381.1774,Cen7g11rFISH\Palbo_ON\IFISH001_002.tif,117,256,Cen7g11rFISH,Palbo_ON,43
119,31,364.28043,Cen7g11rFISH\Palbo_ON\IFISH001_002.tif,104,115,Cen7g11rFISH,Palbo_ON,43
120,32,352.16794,Cen7g11rFISH\Palbo_ON\IFISH001_002.tif,99,108,Cen7g11rFISH,Palbo_ON,43
121,33,363.99323,Cen7g11rFISH\Palbo_ON\IFISH001_002.tif,171,120,Cen7g11rFISH,Palbo_ON,43
122,34,357.37317,Cen7g11rFISH\Palbo_ON\IFISH001_002.tif,3001,163,Cen7g11rFISH,Palbo_ON,43
123,35,355.19525,Cen7g11rFISH\Palbo_ON\IFISH001_002.tif,218,107,Cen7g11rFISH,Palbo_ON,43
124,36,354.87918,Cen7g11rFISH\Palbo_ON\IFISH001_002.tif,120,28781,Cen7g11rFISH,Palbo_ON,43
125,37,347.38242,Cen7g11rFISH\Palbo_ON\IFISH001_002.tif,104,449,Cen7g11rFISH,Palbo_ON,43
126,38,385.01456,Cen7g11rFISH\Palbo_ON\IFISH001_002.tif,104,109,Cen7g11rFISH,Palbo_ON,43
127,39,331.3625,Cen7g11rFISH\Palbo_ON\IFISH001_002.tif,114,111,Cen7g11rFISH,Palbo_ON,43
128,40,323.2209,Cen7g11rFISH\Palbo_ON\IFISH001_002.tif,112,755,Cen7g11rFISH,Palbo_ON,43
129,41,324.8949,Cen7g11rFISH\Palbo_ON\IFISH001_002.tif,103,106,Cen7g11rFISH,Palbo_ON,43
130,42,301.58273,Cen7g11rFISH\Palbo_ON\IFISH001_002.tif,107,110,Cen7g11rFISH,Palbo_ON,43
131,0,662.26447,Cen7g11rFISH\Palbo_ON\IFISH001_003.tif,106,1153,Cen7g11rFISH,Palbo_ON,42
132,1,556.74854,Cen7g11rFISH\Palbo_ON\IFISH001_003.tif,108,112,Cen7g11rFISH,Palbo_ON,42
133,2,544.9051,Cen7g11rFISH\Palbo_ON\IFISH001_003.tif,109,1357,Cen7g11rFISH,Palbo_ON,42
134,3,576.96124,Cen7g11rFISH\Palbo_ON\IFISH001_003.tif,1138,732,Cen7g11rFISH,Palbo_ON,42
135,4,534.8007,Cen7g11rFISH\Palbo_ON\IFISH001_003.tif,107,104,Cen7g11rFISH,Palbo_ON,42
136,5,523.725,Cen7g11rFISH\Palbo_ON\IFISH001_003.tif,236,5553,Cen7g11rFISH,Palbo_ON,42
137,6,462.5322,Cen7g11rFISH\Palbo_ON\IFISH001_003.tif,105,132,Cen7g11rFISH,Palbo_ON,42
138,7,460.1042,Cen7g11rFISH\Palbo_ON\IFISH001_003.tif,107,233,Cen7g11rFISH,Palbo_ON,42
139,8,426.91348,Cen7g11rFISH\Palbo_ON\IFISH001_003.tif,95,110,Cen7g11rFISH,Palbo_ON,42
140,9,433.0458,Cen7g11rFISH\Palbo_ON\IFISH001_003.tif,115,110,Cen7g11rFISH,Palbo_ON,42
141,10,425.01794,Cen7g11rFISH\Palbo_ON\IFISH001_003.tif,107,157,Cen7g11rFISH,Palbo_ON,42
142,11,421.96234,Cen7g11rFISH\Palbo_ON\IFISH001_003.tif,109,105,Cen7g11rFISH,Palbo_ON,42
143,12,413.64447,Cen7g11rFISH\Palbo_ON\IFISH001_003.tif,114,253,Cen7g11rFISH,Palbo_ON,42
144,13,407.67493,Cen7g11rFISH\Palbo_ON\IFISH001_003.tif,221,122,Cen7g11rFISH,Palbo_ON,42
145,14,398.7457,Cen7g11rFISH\Palbo_ON\IFISH001_003.tif,103,536,Cen7g11rFISH,Palbo_ON,42
146,15,393.4019,Cen7g11rFISH\Palbo_ON\IFISH001_003.tif,110,567,Cen7g11rFISH,Palbo_ON,42
147,16,386.5416,Cen7g11rFISH\Palbo_ON\IFISH001_003.tif,110,134,Cen7g11rFISH,Palbo_ON,42
148,17,398.30795,Cen7g11rFISH\Palbo_ON\IFISH001_003.tif,107,239,Cen7g11rFISH,Palbo_ON,42
149,18,383.38693,Cen7g11rFISH\Palbo_ON\IFISH001_003.tif,103,162,Cen7g11rFISH,Palbo_ON,42
150,19,380.99835,Cen7g11rFISH\Palbo_ON\IFISH001_003.tif,2586,115,Cen7g11rFISH,Palbo_ON,42
151,20,369.09818,Cen7g11rFISH\Palbo_ON\IFISH001_003.tif,112,358,Cen7g11rFISH,Palbo_ON,42
152,21,363.03384,Cen7g11rFISH\Palbo_ON\IFISH001_003.tif,104,109,Cen7g11rFISH,Palbo_ON,42
153,22,340.4058,Cen7g11rFISH\Palbo_ON\IFISH001_003.tif,112,5196,Cen7g11rFISH,Palbo_ON,42
154,23,349.40402,Cen7g11rFISH\Palbo_ON\IFISH001_003.tif,104,404,Cen7g11rFISH,Palbo_ON,42
155,24,347.17618,Cen7g11rFISH\Palbo_ON\IFISH001_003.tif,109,117,Cen7g11rFISH,Palbo_ON,42
