,File,Area,Density1,Density2
9,./20240321_140300_322/Plate001_Well1_Object1.tif_projection.tif,6333350,1448,1565
12,./20240321_140300_322/Plate001_Well3_Object7.tif_projection.tif,4483967,1050,1141
13,./20240321_140300_322/Plate001_Well4_Object7.tif_projection.tif,4431993,579,599
20,./20240321_140300_322/Plate001_Well4_Object4.tif_projection.tif,3269797,545,565
25,./20240321_140300_322/Plate001_Well2_Object3.tif_projection.tif,4231499,903,952
31,./20240321_140300_322/Plate001_Well1_Object4.tif_projection.tif,4022762,1052,1127
42,./20240321_140300_322/Plate001_Well3_Object0.tif_projection.tif,4830566,1088,1151
60,./20240321_140300_322/Plate001_Well3_Object2.tif_projection.tif,4845128,1112,1197
79,./20240321_140300_322/Plate001_Well4_Object3.tif_projection.tif,4019125,678,705
83,./20240321_140300_322/Plate001_Well3_Object3.tif_projection.tif,3628393,814,884
98,./20240321_140300_322/Plate001_Well1_Object2.tif_projection.tif,5522538,1472,1580
106,./20240321_140300_322/Plate001_Well3_Object6.tif_projection.tif,4832711,1056,1125
109,./20240321_140300_322/Plate001_Well4_Object5.tif_projection.tif,4278629,602,629
115,./20240321_140300_322/Plate001_Well3_Object1.tif_projection.tif,4311858,925,992
120,./20240321_140300_322/Plate001_Well2_Object1.tif_projection.tif,5258435,1034,1103
132,./20240321_140300_322/Plate001_Well2_Object4.tif_projection.tif,4457817,954,1001
135,./20240321_140300_322/Plate001_Well1_Object0.tif_projection.tif,5509573,1044,1139
140,./20240321_140300_322/Plate001_Well4_Object1.tif_projection.tif,4172893,651,673
145,./20240321_140300_322/Plate001_Well2_Object7.tif_projection.tif,4337309,889,952
148,./20240321_140300_322/Plate001_Well4_Object0.tif_projection.tif,4385921,833,866
158,./20240321_140300_322/Plate001_Well2_Object5.tif_projection.tif,4425110,970,1028
173,./20240321_140300_322/Plate001_Well1_Object5.tif_projection.tif,4169330,916,992
176,./20240321_140300_322/Plate001_Well1_Object7.tif_projection.tif,5314915,1260,1375
194,./20240321_140300_322/Plate001_Well3_Object5.tif_projection.tif,5320613,895,942
215,./20240321_140300_322/Plate001_Well4_Object2.tif_projection.tif,6130173,1165,1205
224,./20240321_140300_322/Plate001_Well2_Object6.tif_projection.tif,5444860,1228,1320
232,./20240321_140300_322/Plate001_Well1_Object3.tif_projection.tif,3284954,1139,1216
234,./20240321_140300_322/Plate001_Well4_Object6.tif_projection.tif,3876080,444,455
268,./20240321_140300_322/Plate001_Well2_Object0.tif_projection.tif,5073607,914,967
269,./20240321_140300_322/Plate001_Well2_Object2.tif_projection.tif,5577739,1103,1171
279,./20240321_140300_322/Plate001_Well1_Object6.tif_projection.tif,4098030,1024,1110
289,./20240321_140300_322/Plate001_Well3_Object4.tif_projection.tif,3952374,772,822
