,File,Area,Density1,Density2
23,./20240321_140300_322/Plate006_Well4_Object4.tif_projection.tif,3894762,182,197
32,./20240321_140300_322/Plate006_Well3_Object0.tif_projection.tif,4725636,645,678
46,./20240321_140300_322/Plate006_Well4_Object6.tif_projection.tif,3263029,229,241
63,./20240321_140300_322/Plate006_Well4_Object3.tif_projection.tif,4586815,302,324
65,./20240321_140300_322/Plate006_Well3_Object2.tif_projection.tif,4983439,620,638
66,./20240321_140300_322/Plate006_Well4_Object7.tif_projection.tif,3806877,194,198
70,./20240321_140300_322/Plate006_Well3_Object3.tif_projection.tif,3404480,511,534
72,./20240321_140300_322/Plate006_Well4_Object1.tif_projection.tif,4979520,291,303
86,./20240321_140300_322/Plate006_Well1_Object7.tif_projection.tif,4201791,1200,1249
92,./20240321_140300_322/Plate006_Well4_Object5.tif_projection.tif,4068462,434,452
96,./20240321_140300_322/Plate006_Well1_Object4.tif_projection.tif,3959518,1222,1270
103,./20240321_140300_322/Plate006_Well1_Object1.tif_projection.tif,4413428,1252,1314
113,./20240321_140300_322/Plate006_Well3_Object4.tif_projection.tif,3551123,449,460
125,./20240321_140300_322/Plate006_Well2_Object0.tif_projection.tif,5393410,969,1013
127,./20240321_140300_322/Plate006_Well1_Object3.tif_projection.tif,8516900,2459,2548
129,./20240321_140300_322/Plate006_Well4_Object0.tif_projection.tif,5553411,256,267
138,./20240321_140300_322/Plate006_Well1_Object0.tif_projection.tif,5485895,1382,1438
152,./20240321_140300_322/Plate006_Well2_Object5.tif_projection.tif,3830441,882,912
154,./20240321_140300_322/Plate006_Well2_Object2.tif_projection.tif,4535916,947,996
185,./20240321_140300_322/Plate006_Well3_Object7.tif_projection.tif,5150335,719,747
208,./20240321_140300_322/Plate006_Well4_Object2.tif_projection.tif,4143491,353,378
211,./20240321_140300_322/Plate006_Well3_Object6.tif_projection.tif,4348996,604,634
217,./20240321_140300_322/Plate006_Well1_Object2.tif_projection.tif,5509774,1576,1627
221,./20240321_140300_322/Plate006_Well3_Object1.tif_projection.tif,3888547,599,629
222,./20240321_140300_322/Plate006_Well1_Object6.tif_projection.tif,4960203,1678,1738
243,./20240321_140300_322/Plate006_Well2_Object4.tif_projection.tif,3597505,725,751
248,./20240321_140300_322/Plate006_Well2_Object6.tif_projection.tif,4282439,895,922
251,./20240321_140300_322/Plate006_Well2_Object3.tif_projection.tif,3552575,710,744
256,./20240321_140300_322/Plate006_Well1_Object5.tif_projection.tif,4659125,1430,1494
293,./20240321_140300_322/Plate006_Well3_Object5.tif_projection.tif,4367830,619,656
294,./20240321_140300_322/Plate006_Well2_Object1.tif_projection.tif,4886128,975,1032
296,./20240321_140300_322/Plate006_Well2_Object8.tif_projection.tif,3756700,838,876
297,./20240321_140300_322/Plate006_Well2_Object7.tif_projection.tif,4767492,1005,1036
