,File,Area,Density1,Density2
10,./20240321_140300_322/Plate004_Well3_Object2.tif_projection.tif,6589266,1315,1380
17,./20240321_140300_322/Plate004_Well4_Object7.tif_projection.tif,5632969,1176,1216
18,./20240321_140300_322/Plate004_Well4_Object2.tif_projection.tif,6013375,752,792
33,./20240321_140300_322/Plate004_Well1_Object6.tif_projection.tif,4714857,880,946
55,./20240321_140300_322/Plate004_Well2_Object3.tif_projection.tif,4667929,1016,1108
67,./20240321_140300_322/Plate004_Well3_Object8.tif_projection.tif,0,0,0
74,./20240321_140300_322/Plate004_Well2_Object2.tif_projection.tif,4977592,1022,1147
75,./20240321_140300_322/Plate004_Well3_Object4.tif_projection.tif,4066538,901,942
100,./20240321_140300_322/Plate004_Well4_Object4.tif_projection.tif,3989970,637,675
104,./20240321_140300_322/Plate004_Well1_Object3.tif_projection.tif,3708705,757,818
105,./20240321_140300_322/Plate004_Well2_Object4.tif_projection.tif,4178617,839,937
112,./20240321_140300_322/Plate004_Well1_Object7.tif_projection.tif,6027046,1216,1328
123,./20240321_140300_322/Plate004_Well3_Object0.tif_projection.tif,5738229,1007,1040
130,./20240321_140300_322/Plate004_Well4_Object8.tif_projection.tif,4551508,658,689
136,./20240321_140300_322/Plate004_Well2_Object6.tif_projection.tif,4396923,1090,1189
142,./20240321_140300_322/Plate004_Well1_Object0.tif_projection.tif,5370637,658,729
146,./20240321_140300_322/Plate004_Well4_Object1.tif_projection.tif,4362050,355,372
149,./20240321_140300_322/Plate004_Well1_Object1.tif_projection.tif,6458081,812,909
153,./20240321_140300_322/Plate004_Well1_Object5.tif_projection.tif,4100448,815,893
161,./20240321_140300_322/Plate004_Well3_Object7.tif_projection.tif,5011548,1247,1293
169,./20240321_140300_322/Plate004_Well3_Object5.tif_projection.tif,4811017,990,1028
183,./20240321_140300_322/Plate004_Well2_Object5.tif_projection.tif,5471608,1183,1289
197,./20240321_140300_322/Plate004_Well3_Object6.tif_projection.tif,5807142,1356,1430
218,./20240321_140300_322/Plate004_Well1_Object2.tif_projection.tif,3792211,807,840
219,./20240321_140300_322/Plate004_Well2_Object7.tif_projection.tif,4360455,1059,1153
228,./20240321_140300_322/Plate004_Well4_Object0.tif_projection.tif,702817,0,0
244,./20240321_140300_322/Plate004_Well4_Object6.tif_projection.tif,848022,186,204
247,./20240321_140300_322/Plate004_Well3_Object1.tif_projection.tif,6854720,1139,1174
270,./20240321_140300_322/Plate004_Well2_Object0.tif_projection.tif,9249655,1141,1339
271,./20240321_140300_322/Plate004_Well2_Object1.tif_projection.tif,4537886,917,1016
275,./20240321_140300_322/Plate004_Well1_Object4.tif_projection.tif,4078525,778,861
277,./20240321_140300_322/Plate004_Well3_Object3.tif_projection.tif,3853589,607,626
282,./20240321_140300_322/Plate004_Well4_Object3.tif_projection.tif,4121680,439,460
283,./20240321_140300_322/Plate004_Well4_Object5.tif_projection.tif,3642093,544,570
