,File,Area,Density1,Density2
1,./20240321_140300_322/Plate005_Well1_Object8.tif_projection.tif,5647479,812,848
14,./20240321_140300_322/Plate005_Well1_Object3.tif_projection.tif,4344852,240,244
22,./20240321_140300_322/Plate005_Well4_Object6.tif_projection.tif,4443325,261,276
36,./20240321_140300_322/Plate005_Well3_Object5.tif_projection.tif,6214605,336,356
38,./20240321_140300_322/Plate005_Well3_Object10.tif_projection.tif,5183219,262,272
41,./20240321_140300_322/Plate005_Well3_Object6.tif_projection.tif,6783917,407,436
48,./20240321_140300_322/Plate005_Well2_Object9.tif_projection.tif,6611706,402,421
56,./20240321_140300_322/Plate005_Well1_Object4.tif_projection.tif,6174177,597,616
57,./20240321_140300_322/Plate005_Well3_Object2.tif_projection.tif,7023785,350,362
59,./20240321_140300_322/Plate005_Well4_Object4.tif_projection.tif,4164892,336,354
64,./20240321_140300_322/Plate005_Well1_Object2.tif_projection.tif,4879922,267,281
71,./20240321_140300_322/Plate005_Well2_Object4.tif_projection.tif,5014283,248,259
73,./20240321_140300_322/Plate005_Well2_Object2.tif_projection.tif,6340045,528,553
90,./20240321_140300_322/Plate005_Well4_Object7.tif_projection.tif,3164115,210,213
121,./20240321_140300_322/Plate005_Well2_Object6.tif_projection.tif,5250164,348,365
131,./20240321_140300_322/Plate005_Well3_Object8.tif_projection.tif,5676308,377,397
137,./20240321_140300_322/Plate005_Well1_Object0.tif_projection.tif,6046489,305,313
144,./20240321_140300_322/Plate005_Well3_Object1.tif_projection.tif,5308210,258,274
151,./20240321_140300_322/Plate005_Well2_Object7.tif_projection.tif,3948720,197,212
162,./20240321_140300_322/Plate005_Well2_Object3.tif_projection.tif,4496422,297,309
164,./20240321_140300_322/Plate005_Well3_Object7.tif_projection.tif,4195016,362,377
165,./20240321_140300_322/Plate005_Well2_Object8.tif_projection.tif,4755153,242,258
167,./20240321_140300_322/Plate005_Well4_Object3.tif_projection.tif,4848344,383,412
179,./20240321_140300_322/Plate005_Well4_Object0.tif_projection.tif,5676385,602,623
187,./20240321_140300_322/Plate005_Well1_Object9.tif_projection.tif,5704504,689,726
189,./20240321_140300_322/Plate005_Well4_Object5.tif_projection.tif,4222071,446,454
192,./20240321_140300_322/Plate005_Well1_Object7.tif_projection.tif,3684111,205,212
193,./20240321_140300_322/Plate005_Well2_Object0.tif_projection.tif,5535342,340,354
195,./20240321_140300_322/Plate005_Well1_Object6.tif_projection.tif,5071732,345,362
200,./20240321_140300_322/Plate005_Well3_Object3.tif_projection.tif,4426510,265,278
201,./20240321_140300_322/Plate005_Well3_Object4.tif_projection.tif,4814769,298,321
204,./20240321_140300_322/Plate005_Well1_Object5.tif_projection.tif,4549917,255,265
209,./20240321_140300_322/Plate005_Well2_Object5.tif_projection.tif,5444323,255,271
212,./20240321_140300_322/Plate005_Well4_Object1.tif_projection.tif,4455177,382,394
235,./20240321_140300_322/Plate005_Well1_Object1.tif_projection.tif,4999109,472,496
241,./20240321_140300_322/Plate005_Well2_Object1.tif_projection.tif,6435240,366,395
288,./20240321_140300_322/Plate005_Well3_Object0.tif_projection.tif,8073671,463,500
291,./20240321_140300_322/Plate005_Well4_Object2.tif_projection.tif,3609958,406,424
292,./20240321_140300_322/Plate005_Well4_Object8.tif_projection.tif,4231480,353,362
295,./20240321_140300_322/Plate005_Well3_Object9.tif_projection.tif,5039206,365,385
